YEAR,SIZE,ARINV,CATA,CR,ROA,LEV,LOSS,EMPLOY,BIG4,CHANT,OP,DELAY,LNFEE,EXPECTED,ABFEE
0,22.16250503,0.125784703,0.631590497,1.397022243,0.032008058,0.496690237,0,57.95688052,0,0,1,9.327379053,1800000,1384940.865,415059.135
0,23.00686635,0.042564338,0.482029668,1.765064995,0.056342475,0.299799276,0,114.1534056,1,0,1,9.055385138,1000000,5295385.66,-4295385.66
0,24.40244646,0.127653354,0.588943049,2.065464979,0.039023629,0.525974404,0,39.97499218,0,1,1,9.273618495,2250000,1497357.828,752642.172
0,20.87665255,9.44E-08,0.175708639,0.891102121,0.002441934,0.20954232,0,36.63331817,0,0,1,10.63014581,900000,550977.3771,349022.6229
0,23.09535776,0.297455612,0.707763251,1.342632791,0.029677098,0.537705454,0,99.70957828,0,0,1,9.273618495,1770000,3028542.22,-1258542.22
0,22.34145828,0.016252295,0.166566765,0.956895512,0.017246656,0.202265296,0,33.95585369,0,0,1,8.888194417,400000,730189.4,-330189.4
0,21.66018206,0.006028563,0.341480705,1.251846581,0.017617325,0.457422831,0,13.19090596,0,0,1,10.81665383,950000,-202969.0305,1152969.031
0,23.16816303,0.166205819,0.605085654,1.321284689,0.080103422,0.532298471,0,98.47334665,0,0,1,9.327379053,1800000,2936630.45,-1136630.45
0,23.56422352,0.06399416,0.431769882,1.092987117,0.004422462,0.530687662,0,242.9053314,0,0,1,10.67707825,2950000,8246279.737,-5296279.737
0,21.74429387,0.234101787,0.781383098,1.751655038,0.032027633,0.495296908,0,55.12712581,0,0,1,9.949874371,900000,1191767.379,-291767.379
0,24.74533763,0.025626627,0.545147257,1.684494522,0.026410544,0.439630488,0,103.9615313,0,0,1,10.77032961,7300000,3566265.006,3733734.994
0,21.17500398,0.063629656,0.545967552,1.748144841,0.051637985,0.334427254,0,30.69201851,0,0,1,8.831760866,650000,257722.9396,392277.0604
0,23.07914175,0.056462801,0.550816422,1.924470401,0.007699241,0.518631083,0,48.47679857,0,0,1,10.48808848,2300000,1312507.295,987492.705
0,22.00048892,0.65671311,0.927729889,1.300023214,0.020427976,0.917812059,0,6.708203932,0,0,1,10.77032961,1500000,-535420.0717,2035420.072
0,23.70671099,0.000405394,0.722256623,3.267230118,0.131709645,0.224904869,0,49.50757518,0,0,1,9.949874371,1200000,1345074.551,-145074.551
0,22.03777019,0.105297053,0.567589953,1.648743628,0.012661411,0.391236188,0,58.58327406,0,0,1,10.04987562,850000,1457451.641,-607451.641
0,22.36789243,0.061813035,0.270244918,0.806711667,0.008632378,0.442046467,0,65.93936609,0,0,0,10.72380529,1920000,1879089.195,40910.805
0,23.48282863,0.068740127,0.367352564,0.90712219,-0.089612624,0.476494718,1,90.49309366,0,0,1,9.38083152,620000,2898054.465,-2278054.465
0,21.80138784,0.004919877,0.643777676,3.100984876,0.010760018,0.415723875,0,23.08679276,0,0,1,10.09950494,940000,209233.777,730766.223
